/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_17:2015-01-29 17:59:33,147 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-12 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422554371--ReceiveTime:1422554373094--CostTime:53--player:192124479000101,cjbae10000--Params:{"cmdBaseTime":"1422554371","pf":"nstore","nonce":"9181223653522307013","paymentSeq":"1011447020","itemId":"9471","orderId":"1011447020"}--RetObj:cmd exception--ResLog:{"wood":1129482,"food":267330,"silver":500,"stone":0,"iron":90538}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_17:2015-01-29 17:59:38,122 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-14 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422554376--ReceiveTime:1422554378077--CostTime:45--player:192124479000101,cjbae10000--Params:{"cmdBaseTime":"1422554376","pf":"nstore","nonce":"9181223653522307013","paymentSeq":"1011447020","itemId":"9471","orderId":"1011447020"}--RetObj:cmd exception--ResLog:{"wood":1129482,"food":267330,"silver":500,"stone":0,"iron":90538}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_18:2015-01-29 18:04:17,567 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-23 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422554656--ReceiveTime:1422554657511--CostTime:56--player:192124479000101,cjbae10000--Params:{"cmdBaseTime":"1422554656","pf":"nstore","nonce":"4294417564448503075","paymentSeq":"1011447072","itemId":"9471","orderId":"1011447072"}--RetObj:cmd exception--ResLog:{"wood":999554,"food":266772,"silver":500,"stone":0,"iron":90538}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-29_18:2015-01-29 18:04:22,538 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-15 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422554661--ReceiveTime:1422554662437--CostTime:101--player:192124479000101,cjbae10000--Params:{"cmdBaseTime":"1422554661","pf":"nstore","nonce":"4294417564448503075","paymentSeq":"1011447072","itemId":"9471","orderId":"1011447072"}--RetObj:cmd exception--ResLog:{"wood":999554,"food":266772,"silver":500,"stone":0,"iron":90538}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_03:2015-01-30 03:50:39,029 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-8 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422589838--ReceiveTime:1422589839018--CostTime:11--player:608931330000102,승일님--Params:{"cmdBaseTime":"1422589838","pf":"nstore","nonce":"118745562743299189","paymentSeq":"1011454475","itemId":"9480","orderId":"1011454475"}--RetObj:cmd exception--ResLog:{"wood":576971,"food":519625,"silver":500,"stone":0,"iron":114603}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_03:2015-01-30 03:50:44,037 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-40 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422589843--ReceiveTime:1422589844028--CostTime:9--player:608931330000102,승일님--Params:{"cmdBaseTime":"1422589843","pf":"nstore","nonce":"118745562743299189","paymentSeq":"1011454475","itemId":"9480","orderId":"1011454475"}--RetObj:cmd exception--ResLog:{"wood":576971,"food":519625,"silver":500,"stone":0,"iron":114603}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_03:2015-01-30 03:51:56,411 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-23 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422589915--ReceiveTime:1422589916402--CostTime:9--player:608931330000102,승일님--Params:{"cmdBaseTime":"1422589915","pf":"nstore","nonce":"-552276668677315656","paymentSeq":"1011454517","itemId":"9480","orderId":"1011454517"}--RetObj:cmd exception--ResLog:{"wood":576971,"food":519158,"silver":500,"stone":0,"iron":114603}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_03:2015-01-30 03:52:01,415 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-30 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422589920--ReceiveTime:1422589921406--CostTime:9--player:608931330000102,승일님--Params:{"cmdBaseTime":"1422589920","pf":"nstore","nonce":"-552276668677315656","paymentSeq":"1011454517","itemId":"9480","orderId":"1011454517"}--RetObj:cmd exception--ResLog:{"wood":576971,"food":519158,"silver":500,"stone":0,"iron":114603}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_02:2015-01-30 02:51:10,939 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-39 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422586269--ReceiveTime:1422586270881--CostTime:58--player:225655153000105,호르피나--Params:{"cmdBaseTime":"1422586269","pf":"nstore","nonce":"5247948422053079917","paymentSeq":"1011453141","itemId":"9480","orderId":"1011453141"}--RetObj:cmd exception--ResLog:{"wood":1045356,"food":454780,"silver":500,"stone":0,"iron":25323}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_02:2015-01-30 02:51:15,933 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-33 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422586274--ReceiveTime:1422586275881--CostTime:52--player:225655153000105,호르피나--Params:{"cmdBaseTime":"1422586274","pf":"nstore","nonce":"5247948422053079917","paymentSeq":"1011453141","itemId":"9480","orderId":"1011453141"}--RetObj:cmd exception--ResLog:{"wood":1045356,"food":454780,"silver":500,"stone":0,"iron":25323}
/usr/local/cok/SFS2X/logs/smartfox.log.2015-01-30_02:2015-01-30 02:51:44,331 | INFO  | com.smartfoxserver.v2.controllers.ExtensionController-24 | com.elex.cok.user | CMD:PayAndroid--SendTime:1422586303--ReceiveTime:1422586304280--CostTime:51--player:225655153000105,호르피나--Params:{"cmdBaseTime":"1422586303","pf":"nstore","nonce":"-6331939377108983840","paymentSeq":"1011453151","itemId":"9480","orderId":"1011453151"}--RetObj:cmd exception--ResLog:{"wood":1045356,"food":454420,"silver":500,"stone":0,"iron":25323}
